concentration,time to catastrophe (s)
7 uM,35.0
7 uM,45.0
7 uM,50.0
7 uM,50.0
7 uM,55.0
7 uM,55.0
7 uM,55.0
7 uM,55.0
7 uM,55.0
7 uM,60.0
7 uM,60.0
7 uM,60.0
7 uM,60.0
7 uM,65.0
7 uM,65.0
7 uM,70.0
7 uM,70.0
7 uM,70.0
7 uM,70.0
7 uM,70.0
7 uM,75.0
7 uM,75.0
7 uM,75.0
7 uM,75.0
7 uM,80.0
7 uM,80.0
7 uM,80.0
7 uM,80.0
7 uM,80.0
7 uM,80.0
7 uM,85.0
7 uM,85.0
7 uM,85.0
7 uM,85.0
7 uM,85.0
7 uM,85.0
7 uM,90.0
7 uM,90.0
7 uM,90.0
7 uM,90.0
7 uM,95.0
7 uM,95.0
7 uM,95.0
7 uM,95.0
7 uM,95.0
7 uM,95.0
7 uM,95.0
7 uM,95.0
7 uM,100.0
7 uM,100.0
7 uM,100.0
7 uM,100.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,105.0
7 uM,110.0
7 uM,110.0
7 uM,110.0
7 uM,110.0
7 uM,110.0
7 uM,110.0
7 uM,110.0
7 uM,110.0
7 uM,110.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,115.0
7 uM,120.0
7 uM,120.0
7 uM,120.0
7 uM,120.0
7 uM,120.0
7 uM,120.0
7 uM,120.0
7 uM,120.0
7 uM,125.0
7 uM,125.0
7 uM,125.0
7 uM,125.0
7 uM,125.0
7 uM,125.0
7 uM,125.0
7 uM,130.0
7 uM,130.0
7 uM,130.0
7 uM,130.0
7 uM,130.0
7 uM,130.0
7 uM,130.0
7 uM,130.0
7 uM,135.0
7 uM,135.0
7 uM,135.0
7 uM,135.0
7 uM,135.0
7 uM,135.0
7 uM,135.0
7 uM,135.0
7 uM,140.0
7 uM,140.0
7 uM,140.0
7 uM,140.0
7 uM,140.0
7 uM,140.0
